skillDevelopment,location,reviewText,overallScore,workSatisfaction,jobFunction,companyCulture,postedon,pros,careerGrowth,salaryBenefits,company,cons,workLifeBalance,jobSecurity
5,Mysore,Hectic,5,4,Intern,4,14-Apr-18,All the basics are covered properly and it is great for freshers.,2,4,Infosys,Hectic schedule.,3,5
5,,,5,5,System Engineer for 2.2 years in Mysore,5,11-Apr-18,"There is always a opportunity to learn, with lots of learning platforms available in Infosys, Infosys is IT SECTOR haven on Earth. You will never find this company any where else.",5,3,Infosys,Work days:,5,5
3,,Good,4,4,"Technology Analyst for 2.8 years in Bangalore,Hyderabad",4,24-Jan-18,"Provided WFH for 9 days of a month, which is very good. No strict limitation on Working hours",3,2,Infosys,"huge disappointment with Ratings, Cutting down the performance bonus.",4,4
4,Bangalore,My work was a little stressful but with my manager who is so supportive I could handle the pressure. The outing plans are amazing with the team. Enjoy to the fullest with amazing people.,4,3,Process Executive,4,14-Mar-19,It is cool thing to be part of especially knowing that is your working place and not to forget that nature and IT hub combination is rocking the best you get in companies like Infosys. Lot's of new and amazing things comes your way.,3,4,Infosys,Infosys BPO is the best in day shifts... otherwise if you are comfortable in the night shift working hours it should not matter to you unless you want to eat something in the night there is no facility for that within infotech salarpuria.,2,4
4,Chennai,Helped me to grow in career. New management want to build new product culture but they talk at very high level They talk of moon but achievements are hallow,3,4,Senior Technical Manager,4,27-Jul-18,Channel Banking product solution is good. Strong in delivery,3,5,Infosys,Native framework build on XML should adopt open sources. Weak in marketing. Too many innovations but most of them ditched after Proof of Concept,4,2
4,Jaipur,,4,4,Junior Accountant,4,12-Jun-18,The environment which it provides,3,3,Infosys,The salary being offered to the employees,4,5
2,Trivandrum,,2,1,Senior System Engineer,5,18-May-18,Safety and facilities,1,1,Infosys,Compensation pay,2,5
2,Bengaluru,,3,2,Senior System Engineer,3,16-May-18,Good facilities,2,1,Infosys,No work life balance,1,4
5,Bangalore,Yes,5,5,Electrical Engineer,5,2-Apr-18,It's nice and good atmosphere company,5,5,Infosys,Some inside managers are bad,5,5
5,,,5,5,Technology Analyst ( ETL Developer ) for 4.5 years,5,8-Mar-19,,5,5,Infosys,,5,5
5,,,3,1,Software Developer for 6 months,4,8-Mar-19,,1,4,Infosys,,5,5
5,,,4,4,Senior Process Specialist for 3.7 years in Bangalore,5,11-Dec-18,,5,2,Infosys,,4,5
5,,,5,5,Senior System Engineer for 2.5 years in Hyderabad,5,2-Oct-18,Good,4,3,Infosys,Good,5,5
4,Pune,,5,3,Senior System Engineer,4,10-Jun-18,Environment,3,2,Infosys,Low salary hike,4,5
4,Hyderabad,,4,3,Senior Systems Engineer,4,25-May-18,Work environment,3,2,Infosys,Salary revision,4,4
3,,,4,3,System Engineer for 1.5 years in Bangalore,4,26-Apr-18,Work life balance,3,3,Infosys,Learning,4,5
3,Na,,3,2,Test Engineer,2,23-Apr-18,Training,3,1,Infosys,"Less hike , poor work life balance",2,5
5,,It's a place to implement the own ideas,5,5,Senior Technology Support Executive With Well Experienced In PRODUCTION SUPPORT AND REMEDY for 2.7 years in Bangalore,5,23-Apr-18,Work environment is good,5,4,Infosys,Annual hike,5,5
4,,,4,3,Test Lead for 7 year in Pune,4,6-Apr-18,Process and quality of work,3,3,Infosys,not employee friendly and some policies,4,4
2,Pune,,3,2,Senior Manager,2,15-Mar-18,"Salary low than industry average. Nice infrastructure, with average culture.",3,1,Infosys,Culture,2,3
4,Jaipur,,4,5,Process Executive,4,21-Dec-18,1 of the best company to work. The work environment and the learning opportunities are a big plus of this company. Company will invest alot to groom your personality and knowledge.,3,3,Infosys,Salary side is the pain area in this company as they give very less remuneration and hike.,5,5
5,Pune,,5,5,Revenue Analyst,5,13-Aug-18,Campus is awesome,3,2,Infosys,Nothing,5,5
4,,,5,4,System Engineer for 4.2 years in Bangalore,4,31-Jul-18,Job Security and onsite opportunity,4,3,Infosys,Salary,4,5
5,Chennai,Exciting,5,4,Senior System Engineer,5,9-Jun-18,Campus,4,3,Infosys,Career growth can be much better.,4,5
4,,,4,3,Senior Process Executive for 6.2 years,4,29-May-19,All is well,1,2,Infosys,Good,4,4
4,Bangalore,,5,4,Senior Test Analyst,3,14-Jan-19,Work environment,4,3,Infosys,Salary hikes,4,4
4,Bangaluru,,4,4,Process Executive,5,31-Dec-18,Work Environment was really good!,3,3,Infosys,"Career growth, salary",4,4
4,Pune,Satisfactory,5,5,Senior Systems Engineer,5,23-Aug-18,Great company,4,4,Infosys,Retention policy for employees,5,5
3,Pune,,3,3,Vendor Trainer,1,22-Aug-18,Too many points to mention,3,3,Infosys,Too many points to mention,1,1
5,,,4,4,Senior Software Engineer for 2.8 years in Hyderabad,4,17-Aug-18,Friendly working environment .,4,4,Infosys,Nothing,4,5
4,Bengaluru,,4,3,Asic Verification Engineer,4,29-Jul-18,People are very Friendly and Talented. Very Good work life balance and environment to beathe a fresh air.,3,4,Infosys,Very High bench period even after a 3 to 4 month training period.,5,5
5,,Over all I feel good,4,3,Technology Analyst for 5.4 years in Chennai,5,27-Jul-18,Job Security and learning new technologies.,2,2,Infosys,There is no recognize.,3,5
3,Pune,,4,2,Technology Support Specialist,4,8-May-18,Work culture is awesome,2,3,Infosys,Opportunity are poor,5,5
1,Pune,,1,1,PLSQL Developer(SENIOR SYSTEM ENGINEER),1,28-Mar-18,Only the infrastructure and training,1,1,Infosys,"Pathetic management, no one follows the policy . You are at the mercy of your manager",1,1
3,Bangalore,Normal,4,4,Senior System Engineer,4,30-Nov-17,it's a good company to start your career. work-life balance. Bus Facilities. Good food. Many cultural activities,1,2,Infosys,They don't provide laptops to every employee. Have to complete 9 hours here. The hike is very less. bus service is not free.,3,4
5,Pune,,4,3,Senior Project Manager,4,16-Sep-17,"I love the learnings I have had in the last 1 year when setting up new team for 2 new clients of Infosys. The challenges are multifold and so are the opportunities... however, growth is limited and compensation worse.",2,1,Infosys,The low salary and reduced onsite has really brought a setback to IT and Infosys...hope we recover quickly out of it.,2,3
5,,,5,5,Senior System Engineer for 1 year in Hinjewadi Phase 2,5,6-Sep-18,work environment,5,5,Infosys,Talk about teammates,5,5
5,,"I worked at Infosys, more than 3 years. Good work life balance, Good exposure. But, Low hikes, Perks and Promotions",4,4,Process Specialist for 3 year in Bengaluru,5,28-Aug-18,Good work culture and Infrastructure,4,5,Infosys,"Poor Bonus scheme, Less Increment, Higher Management Centric",3,5
3,Bangalore,,2,3,Senior Project Manager,4,27-Jul-18,culture,2,2,Infosys,No growth and less pay,2,4
2,Pune,Tough,2,2,Senior Consultant,1,27-Jul-18,Work days:,2,1,Infosys,,2,2
3,Pune,Boring,2,1,Technology Analyst,2,10-May-18,Widely known name of the organisation.,1,1,Infosys,Everything else,1,3
5,,,4,5,Technology Support Specialist for 7 months in Chennai,3,21-Mar-18,New technology projects and job security. Learning is given more importance,3,3,Infosys,Have to maintain 9.15 hours either you work or not. After 8 of you stay mail will come,4,4
2,Pune,Boring,2,2,Information Security Analyst,2,5-Feb-18,It is only Job Security.,2,2,Infosys,Except Infrastructure and job security I dislike everything else.,5,5
5,,,5,5,Senior Process Executive for 2.2 years in Bangalore,4,26-Sep-19,If you,5,3,Infosys,Husharu,4,5
3,,,3,3,Hardware Technician,3,14-Feb-19,,3,3,Infosys,,3,3
2,Bangalore,Boring,3,3,"Senior Analyst, Data Science",4,11-Dec-18,Training and teammates are best part of infosys,3,1,Infosys,Compensation is terrible. No benefits provided to employees,3,3
5,Bangalore,Not applicable,5,5,Manager-employee Relations,5,29-Aug-18,Not applicable,5,5,Infosys,Not applicable,5,5
5,,,5,5,Senior Financial Analyst for 2 years in Bangalore,5,17-Aug-18,Work Environment,5,5,Infosys,Management,5,5
5,,Excellent,5,5,Process Specialist for 2.1 years in Pune,5,7-Aug-18,Its good in all aspects.,5,5,Infosys,I don't think there is anything to dislike,5,5
4,Hyderabad,,4,4,Siebel Configuration,4,11-Apr-18,Enthusisatic work environment and good work life balance with cool premises.,4,4,Infosys,No,4,5
5,Pune,,5,5,Senior Process Executive,5,26-Mar-18,work environment is very best infosys is excellent company for working,5,5,Infosys,no,5,5
1,,,1,1,Product Engineer for 2.8 years in Pune,3,29-Aug-17,"Work Life Balance is good, excellent facilities and amenities. Job Security is like government job.",1,1,Infosys,"For Freshers, technical skills development is quite less. Stay away from infosys or similar service based companies if you want remain on technical side. Also after performing well, salary hike is meagre",3,5
5,,,5,5,Test Engineer for 1.4 years in Mysuru/Mysore,5,9-Nov-21,Great workplace. Good environment for learning and career growth,5,5,Infosys,Work timings: ,5,5
5,,Worked as a Java developer.,5,5,Senior System Engineer for 3.8 years in Bangalore,5,25-Feb-20,Great place to work,5,5,Infosys,Nothing,5,5
4,Pune,,5,4,System Engineer,5,11-Apr-18,Work culture,4,4,Infosys,There is nothing i dislike about Infosys.,5,5
4,Mysore,,3,3,System Engineer -Application Programming,5,9-Jul-18,"job security, work-life balance",3,3,Infosys,"career growth, work unsatisfactorily",5,5
4,Pune,,5,4,Process Executive,4,12-Mar-18,Job Security,3,4,Infosys,Timings of working unsuitable,4,5
3,Trivadrum,,4,3,Technology Lead -IT,4,16-Sep-21,Good work place,4,3,Infosys,Nothing,3,5
3,,,3,5,Software Engineer,3,15-Feb-19,,4,3,Infosys,,4,4
4,Bangalore,,4,4,Senior Associate Consultant,4,14-Jan-19,SAP,3,3,Infosys,Compensation,5,5
5,Mysore,,5,5,Worker,5,17-Jul-18,Good,5,5,Infosys,Noo,5,5
4,Bangalore,Full of stressed,2,1,Process Specialist,3,17-Apr-18,Campus,3,1,Infosys,Salary,1,3
3,Chandigarh,,4,3,Senior Software Engineer Developer,4,24-Mar-18,"The work culture over here is awesome, can enjoy your personal life being during working. Managerial facilities are good.",2,2,Infosys,"Career growth is not so good, does not give good salary as per market standard.",5,4
5,Pune,,5,4,Accounts Receivable Executive,5,3-Mar-18,Company working environment and Infrastructure,5,2,Infosys,Increment and Salary,5,5
5,,good,5,4,"Production Support Engineer for 2.2 years in Bangalore, Electronic City",5,3-Jun-20,NOt sure,4,2,Infosys,"no free cafeteria, no bonus, hike also very bad",4,5
4,Pune,,5,4,Technology Analyst,5,28-Sep-19,"Training,work culture,work environment,work life balance",4,4,Infosys,Hike is low,5,5
5,Bangalore,,4,5,Senior System Engineer,5,10-Dec-18,Always had plantform to put my ideas forward at any point of time,4,3,Infosys,getting transferred within organisation not easy,5,4
3,Pune,Boring,3,3,Salesforce Consultant,4,30-Nov-18,Work life balance,3,3,Infosys,Compensation,4,4
4,Pune,Excellent,5,3,Senior Process Executive,4,20-Aug-18,Yes,2,2,Infosys,About compensation and there policies,3,5
3,Hyderabad,,3,2,Technology Lead,4,27-Jul-18,Remnants of old company culture,2,2,Infosys,Poor compensation policy for long term employees...9.15 hours policy,2,4
3,,,4,4,Manual Automation Test Engineer for 7.3 years in Chennai,5,16-May-18,Work life balance,3,2,Infosys,Job security,5,3
5,Hyderabad,,5,5,Java Developer,5,20-Apr-18,Work and facilities provided by infy is good.,5,5,Infosys,Work days:,5,5
3,,,4,2,Techonology Analyst for 5 years in Bhubaneswar,4,13-Apr-18,Safety and security concerns for a woman working here,3,2,Infosys,Compensation,3,4
5,Chd,,5,3,Technology Lead,4,12-Apr-18,Infrastructure and facilities,4,3,Infosys,Work days:,4,5
5,Pune,,5,5,Process Specialist,5,5-Feb-18,It's a Good company and culture also fantastic.. Employees oriented company... It's a good path to start your carrier through Infosys...,5,4,Infosys,Nothing... ALL GOOD,5,5
3,,,4,3,Process Specialist for 3.1 years in Pune,3,10-Jan-18,"The company is open to innovation & readily adopts latest technology. I love the fact that I am part of a team that markets reliable , high quality products, & has global client base. I like company's huge campus, IJP, re-hire policy.",3,3,Infosys,,3,4
3,Bangalore,,5,3,Senior System Engineer,5,30-Aug-17,"The company is great in terms of infrastructure, work life balance, facilities they provide in terms of food courts, outdoor activities. I like every bit of Infosys except their low salary and sometimes repetitive work.",3,2,Infosys,"Compensation & benefits, some managers who behave like they own your life.",5,4
3,Pune,Boring mostly,4,3,Senior System Engineer,3,29-Aug-17,Environment-friendly campus Food Courts with ample vendors,3,2,Infosys,"From learning point of view, it is not as good as expected, though not for all domains and projects that are there. Repetitive and redundant work is done. Maintenance of 9:25 hours average attendance, which is unnecessary. Focus should be on work and not on attendance hours like schools.",4,3
5,,Exciting work culture.... enjoyed working with Infosys BPO,5,5,Assistant Manager - Quality for 11.2 years in Bangalore,5,12-Oct-18,"Fantastic Team, relevant trainings, life secured, guaranteed career growth, appraisal once in six months and salary hike every year, travel opportunities, less politics, huge learning, world class work environment, innovation in every field also a great wok life balance which make the Infosys BPO a great company to work.",5,3,Infosys,No dislikes,5,5
3,Bhubaneswar,,4,3,Senior System Engineer,3,3-Aug-18,Work related travel:,3,2,Infosys,,4,5
4,Bangalore,,3,1,Technology Leader,5,12-Jun-18,Culture,2,1,Infosys,Timing,3,5
1,Pune,,3,2,Technology Analyst,4,12-Jun-18,Work days:,1,3,Infosys,,5,1
3,Pune,Good,3,2,Account Assistant,3,4-Jun-18,Good,2,1,Infosys,Good,2,4
5,Mysore,,4,3,System Engineer,4,3-May-18,work-life balance,3,3,Infosys,Appraisals,5,4
5,,,5,4,Technology Analyst for 6.8 years in Pune,5,11-Jul-18,Growth and Opportunities.,5,2,Infosys,Salary,5,5
5,,It was good,4,5,Subject Matter Expert for 4.5 years in Pune,5,1-Apr-18,Work culture,4,4,Infosys,Salary package,4,5
3,,,3,3,Senior Process Executive for 3.9 years in Jaipur,3,31-Mar-18,Cab facility,2,2,Infosys,"Politics, log in time",2,3
3,Bangalore,,2,1,Test Analyst,3,31-Mar-18,Campus,2,1,Infosys,No work life balance for married employees,1,4
2,Bangalore,,4,2,Test Analyst,2,22-Mar-18,Job security,1,2,Infosys,Career growth,3,4
3,Chandigarh,Boring if in support project. Frustrating if one got development project.,3,2,Senior Systems Engineer,5,10-Nov-17,"Good infrastructure, Carreer security",2,1,Infosys,"Less salary, no growth, support projects so no skill development.",3,5
3,Pune,My job is challenging as we get a chance to do many projects and well mange day to day operations,3,3,Senior Buyer,4,3-Oct-17,I am a part of org which is market reliable and has global client base. Co is reliable in terms of job securities,2,2,Infosys,"Work pressure is okay , not much compensation and slow in growth .",4,5
4,Mangalore,,4,5,Senior Testing Executive,4,28-May-18,Good Infrastructure,4,4,Infosys,Finance wise,5,4
4,Bangalore,Sometimes boring other wise it's good,5,2,Team Leader Operations,3,17-May-18,"Training, Learnings",3,3,Infosys,The way the client program is handled,5,5
